世界排名,国家,人口数量,增长率,人口密度（公里²）,人口密度（每平方公里）
1,印度,1428628000,0.86,480.50,480.5
2,中国,1411397000,0.12,151.86,151.86
3,美国,335143000,0.47,37.17,37.17
4,印度尼西亚,277432000,0.77,153.20,153.2
5,巴基斯坦,231552000,1.82,311.96,311.96
6,尼日利亚,222182000,2.44,245.73,245.73
7,巴西,204246000,0.59,25.89,25.89
8,孟加拉国,170279000,1.11,1328.68,1328.68
9,俄罗斯,143204000,-0.17,8.82,8.82
10,墨西哥,131229999,0.71,66.08,66.08
11,埃塞俄比亚,105747000,2.63,126.53,126.53
12,日本,124621000,-0.47,338.21,338.21
13,菲律宾,112893000,1.57,393.53,393.53
14,埃及,105672000,1.67,113.23,113.23
15,刚果民主共和国,99948000,3.26,45.11,45.11
16,越南,100399000,0.82,318.83,318.83
17,伊朗,86547000,0.82,54.76,54.76
18,土耳其,86268000,0.72,111.50,111.5
19,德国,83861000,0.1,238.97,238.97
20,泰国,70183000,0.19,140.54,140.54
21,英国,68122000,0.39,279.99,279.99
22,坦桑尼亚,63343000,3.03,76.13,76.13
23,法国,65831999,0.15,118.26,118.26
24,南非,61528000,1.05,49.80,49.8
25,意大利,58851000,-0.34,200.15,200.15
26,肯尼亚,51539000,1.98,96.81,96.81
27,缅甸,54205000,0.72,83.54,83.54
28,哥伦比亚,52156000,1.11,46.94,46.94
29,韩国,51565000,0.04,532.59,532.59
30,乌干达,45046000,3.19,243.14,243.14
31,苏丹,47895000,2.75,0.00,0.0
32,西班牙,47810000,0.31,95.27,95.27
33,阿根廷,46763000,0.6,16.73,16.73
34,阿尔及利亚,45973000,1.7,19.15,19.15
35,伊拉克,43345000,2.31,104.77,104.77
36,阿富汗,42076522,2.86,64.70,64.7
37,波兰,37609000,1.27,133.97,133.97
38,加拿大,39773000,0.93,4.26,4.26
39,摩洛哥,37022000,1.04,84.79,84.79
40,沙特阿拉伯,32819000,1.08,17.19,17.19
41,乌克兰,33192000,-3.74,63.43,63.43
42,安哥拉,36783000,3.24,29.43,29.43
43,乌兹别克斯坦,36025000,1.62,82.66,82.66
44,也门,34071000,2.27,65.25,65.25
45,秘鲁,34509000,1.3,26.84,26.84
46,马来西亚,33058999,1.15,104.42,104.42
47,加纳,32902000,2.02,149.96,149.96
48,莫桑比克,33897000,2.87,43.11,43.11
49,尼泊尔,30562000,1.62,215.53,215.53
50,马达加斯加,29766000,2.47,52.12,52.12
51,科特迪瓦,29116000,2.52,90.80,90.8
52,委内瑞拉,26540000,-0.67,32.69,32.69
53,喀麦隆,28608000,2.7,60.60,60.6
54,尼日尔,27066000,3.8,21.48,21.48
55,澳大利亚,26584000,1.14,3.44,3.44
56,朝鲜,26148021,0.4,217.26,217.26
58,马里,23348000,3.16,19.09,19.09
59,布基纳法索,23405000,2.66,84.98,84.98
60,叙利亚,23062725,3.74,126.49,126.49
61,斯里兰卡,21885113,0.29,349.12,349.12
62,马拉维,22729000,2.65,222.02,222.02
63,赞比亚,20570000,2.89,27.67,27.67
64,罗马尼亚,19030000,0.29,86.43,86.43
65,智利,19961000,0.97,26.40,26.4
66,哈萨克斯坦,19994000,1.13,7.26,7.26
67,乍得,17921000,3.21,14.52,14.52
68,厄瓜多尔,18259000,1.34,73.24,73.24
69,索马里,16050999,3.32,28.92,28.92
70,危地马拉,19005000,1.43,168.83,168.83
71,塞内加尔,18162000,2.66,92.26,92.26
72,荷兰,17691000,0.38,522.49,522.49
73,柬埔寨,16152999,1.12,95.99,95.99
74,津巴布韦,16164000,2.06,43.08,43.08
75,几内亚,15041000,2.48,57.75,57.75
76,卢旺达,13499000,2.38,571.33,571.33
77,贝宁,13760000,2.81,121.61,121.61
78,布隆迪,12976000,2.87,515.52,515.52
79,突尼斯,12235000,0.86,80.19,80.19
80,玻利维亚,12130000,1.31,11.44,11.44
81,海地,12227000,1.26,425.43,425.43
82,比利时,11695000,0.41,385.94,385.94
83,约旦,10312000,1.62,127.70,127.7
84,多米尼加共和国,10724000,1.03,234.54,234.54
85,古巴,11197163,-0.24,105.17,105.17
86,南苏丹,15013000,1.3,18.15,18.15
87,瑞典,10814000,0.87,25.86,25.86
88,洪都拉斯,10475000,1.58,94.68,94.68
89,捷克共和国,11001000,-0.07,135.88,135.88
90,阿塞拜疆,10278000,0.51,125.97,125.97
91,希腊,10460000,-0.56,80.23,80.23
92,巴布亚新几内亚,12278000,2.06,22.81,22.81
93,葡萄牙,10284000,-0.08,111.89,111.89
94,匈牙利,9671000,0.77,112.19,112.19
95,塔吉克斯坦,10013000,2.13,72.47,72.47
96,阿联酋,10062000,0.81,113.84,113.84
97,白俄罗斯,9210000,-0.41,46.81,46.81
98,以色列,9807000,1.64,423.96,423.96
99,多哥,9070000,2.39,166.46,166.46
100,奥地利,9070000,0.27,108.71,108.71
101,瑞士,8805000,0.65,222.61,222.61
